,start_value,bottom_value,difference,percent_diff
2198,1145700.0,1071900.0,-73800.0,-0.06441476826394343
2200,224433.33,200266.67,-24166.659999999974,-0.10767856984521851
2201,156166.67,133500.0,-22666.670000000013,-0.14514409508763945
2202,155966.67,147300.0,-8666.670000000013,-0.05556744912230294
2203,390933.33,383366.67,-7566.660000000033,-0.019355371924926514
2205,138266.67,134600.0,-3666.670000000013,-0.026518827711696627
2207,268866.67,247500.0,-21366.669999999984,-0.07946938904699487
2208,313000.0,299200.0,-13800.0,-0.044089456869009586
2209,187000.0,177166.67,-9833.329999999987,-0.05258465240641704
2210,207300.0,195733.33,-11566.670000000013,-0.05579676796912693
2211,410133.33,388666.67,-21466.660000000033,-0.05234068638118251
2212,284100.0,269800.0,-14300.0,-0.05033438929954241
2213,426533.33,384833.33,-41700.0,-0.09776492730357085
2214,296066.67,262833.33,-33233.33999999997,-0.1122495146110164
2215,417433.33,395000.0,-22433.330000000016,-0.05374110878975576
2216,151133.33,140533.33,-10600.0,-0.0701367461432895
2217,193633.33,142266.67,-51366.659999999974,-0.2652779870077118
2218,97766.67,100800.0,3033.3300000000017,0.031026217830677896
2219,181633.33,181233.33,-400.0,-0.002202238983340778
2220,257433.33,243333.33,-14100.0,-0.054771462576349385
2221,183500.0,167233.33,-16266.670000000013,-0.08864670299727527
2222,146433.33,147400.0,966.6700000000128,0.006601434249975828
2223,363500.0,348700.0,-14800.0,-0.04071526822558459
2224,127000.0,123833.33,-3166.6699999999983,-0.024934409448818882
2225,321333.33,305733.33,-15600.0,-0.048547718345930684
2226,212866.67,197833.33,-15033.340000000026,-0.07062326854645692
2228,199600.0,198400.0,-1200.0,-0.006012024048096192
2229,369333.33,358333.33,-11000.0,-0.029783393770608246
2230,136633.33,136533.33,-100.0,-0.0007318858436664027
2231,1318333.33,1207100.0,-111233.33000000007,-0.08437420754582611
2233,87866.67,88966.67,1100.0,0.01251896765861276
2234,88300.0,88666.67,366.66999999999825,0.0041525481313703086
2235,226033.33,212633.33,-13400.0,-0.059283292424174794
2236,128933.33,171433.33,42499.999999999985,0.3296277231030951
2237,105200.0,101700.0,-3500.0,-0.03326996197718631
2238,233766.67,217900.0,-15866.670000000013,-0.06787396167297935
2239,196900.0,183366.67,-13533.329999999987,-0.06873199593702381
2240,150800.0,124800.0,-26000.0,-0.1724137931034483
2241,241766.67,217033.33,-24733.340000000026,-0.10230252168340667
2242,694266.67,625266.67,-69000.0,-0.09938544219615209
2243,213766.67,229133.33,15366.659999999974,0.07188520081264294
2244,113833.33,110400.0,-3433.3300000000017,-0.030161025773382907
2245,571033.33,568966.67,-2066.659999999916,-0.0036191582722499165
2246,163733.33,153366.67,-10366.659999999974,-0.06331429281991623
2247,291400.0,264800.0,-26600.0,-0.091283459162663
2248,110033.33,107233.33,-2800.0,-0.025446835063521207
2249,158233.33,145400.0,-12833.329999999987,-0.08110383570894948
2250,220800.0,222833.33,2033.3299999999872,0.009208922101449217
2251,145466.67,134533.33,-10933.340000000026,-0.075160447406956
2252,121466.67,114500.0,-6966.669999999998,-0.05735458130201477
2253,332266.67,301333.33,-30933.339999999967,-0.09309793245286976
2254,176866.67,164933.33,-11933.340000000026,-0.06747082420899328
2255,129600.0,129533.33,-66.66999999999825,-0.0005144290123456656
2256,196533.33,179633.33,-16900.0,-0.0859905034937331
2257,245366.67,234033.33,-11333.340000000026,-0.0461894029861514
2258,180600.0,179400.0,-1200.0,-0.006644518272425249
